20868|Lampa|lampa|-15.3644|-70.3666|1771|1832|\N
20869|Ayaviri|ayaviri|-14.8819|-70.5901|1771|1843|\N
20870|Moho|moho|-15.3608|-69.4999|1771|1889|\N
20871|Puno|puno|-15.8406|-70.0279|1771|1772|\N
20872|Putina|putina|-14.9142|-69.8685|1771|1877|1878
20873|Juliaca|juliaca|-15.4964|-70.1315|1771|2405|1865
20874|Sandia|sandia|-14.2364|-69.4343|1771|1853|\N
20875|Yunguyo|yunguyo|-16.2442|-69.0928|1771|1869|\N
20876|Bellavista|bellavista|-7.06685|-76.5848|1894|1952|\N
20877|San José de Sisa|san-jose-de-sisa|-6.61379|-76.6949|1894|1976|\N
20878|Saposoa|saposoa|-6.93639|-76.7718|1894|1902|\N
20879|Lamas|lamas|-6.42186|-76.5161|1894|1909|\N
20880|Juanjuí|juanjui|-7.18039|-76.7264|1894|1921|\N
20881|Moyobamba|moyobamba|-6.03473|-76.9747|1894|1895|\N
20882|Picota|picota|-6.92069|-76.3303|1894|1965|\N
20883|Rioja|rioja|-6.06112|-77.1684|1894|1927|\N
20884|Tarapoto|tarapoto|-6.48776|-76.3599|1894|1937|\N
20885|Tocache|tocache|-8.18871|-76.5102|1894|1959|\N
20886|Candarave|candarave|-17.2682|-70.2504|1982|2007|\N
20887|Locumba|locumba|-17.6139|-70.7624|1982|2003|\N
20888|Tacna|tacna|-18.0138|-70.2509|1982|1983|\N
20889|Tarata|tarata|-17.4748|-70.0321|1982|1994|1995
20890|Zorritos|zorritos|-3.68043|-80.68|2014|2022|2023
20891|Tumbes|tumbes|-3.57075|-80.4596|2014|2015|2016
20892|Zarumilla|zarumilla|-3.50074|-80.2751|2014|2026|\N
20893|Atalaya|atalaya|-10.7297|-73.7548|2031|2044|2045
20894|Pucallpa|pucallpa|-8.38328|-74.5323|2031|2032|2033
20896|Puerto Esperanza|puerto-esperanza|-9.77266|-70.7099|2031|2049|\N
21030|Aguaytia|aguaytia|-9.0362|-75.5074|2031|2040|\N
21320|Aguas Calientes|aguas-calientes|-13.1547|-72.5253|751|865|869
21323|Barrio Wayku|barrio-wayku|-6.4263|-76.5204|1894|1909|1910
21324|Cachiche|cachiche|-14.0946|-75.7365|1065|1066|1080
21330|Padre Cocha|padre-cocha|-3.69855|-73.2778|1567|1568|1578
21341|Tomayquichua|tomayquichua|-10.0776|-76.2128|976|990|998
21350|Achoma Yunque|achoma-yunque|-15.6637|-71.6716|368|399|418
21359|Chosica|chosica|-11.9378|-76.6966|1385|1386|1398
21361|Catapalla|catapalla|-12.9176|-76.105|1385|1507|1451
21415|Mancora|mancora|\N|\N|1698|\N|\N
21416|Vichayito|vichayito|\N|\N|1698|\N|\N
21417|Punta Sal|punta-sal|\N|\N|1698|\N|\N
21418|Zorritos|zorritos--2|\N|\N|1698|\N|\N
